Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,MARUTI,EQ,7649.6,7654.0,7748.5,7650.0,7687.0,7691.3,7704.92,767574,591409372980000.0,55693,93385,0.1217
2021-01-04,MARUTI,EQ,7691.3,7739.0,7755.2,7642.6,7691.05,7702.3,7697.13,598645,460784693235000.06,55195,171586,0.2866
2021-01-05,MARUTI,EQ,7702.3,7660.0,7673.0,7586.0,7657.2,7655.45,7635.41,562668,429620349230000.0,57426,147432,0.262
2021-01-06,MARUTI,EQ,7655.45,7654.0,7749.0,7555.5,7625.25,7628.6,7670.88,840678,644873632700000.0,66618,204373,0.24309999999999998
2021-01-07,MARUTI,EQ,7628.6,7676.0,7704.4,7552.1,7576.85,7566.05,7620.3,642968,489961100150000.0,65629,198399,0.3086
2021-01-08,MARUTI,EQ,7566.05,7600.0,8060.0,7600.0,8003.9,8014.9,7900.46,2557157,2020272618890000.2,206469,628669,0.2458
2021-01-11,MARUTI,EQ,8014.9,8099.0,8288.0,7882.4,8230.0,8232.75,8134.13,2182019,1774881582020000.0,173268,374554,0.17170000000000002
2021-01-12,MARUTI,EQ,8232.75,8161.0,8329.0,8140.0,8160.0,8188.05,8225.92,1514072,1245463135470000.0,121926,338140,0.2233
2021-01-13,MARUTI,EQ,8188.05,8188.0,8250.0,8111.0,8132.0,8139.85,8179.95,877225,717565947425000.0,75670,171171,0.19510000000000002
2021-01-14,MARUTI,EQ,8139.85,8164.8,8180.0,8023.45,8154.0,8149.45,8119.67,718274,583214715825000.0,75675,164673,0.2293
2021-01-15,MARUTI,EQ,8149.45,8157.15,8219.5,8000.05,8011.0,8024.75,8083.19,751177,607190314930000.0,66900,116035,0.1545
2021-01-18,MARUTI,EQ,8024.75,8011.0,8023.95,7745.0,7768.4,7830.65,7846.21,771183,605086381410000.0,83183,160751,0.2084
2021-01-19,MARUTI,EQ,7830.65,7900.0,7990.3,7835.0,7905.0,7922.6,7920.93,779892,617747312460000.0,71087,138955,0.1782
2021-01-20,MARUTI,EQ,7922.6,7882.0,8170.0,7860.25,8125.0,8144.95,8057.51,999226,805127404610000.0,88074,155107,0.1552
2021-01-21,MARUTI,EQ,8144.95,8205.0,8267.0,8021.45,8089.0,8076.75,8194.49,769494,630561318840000.0,84321,171412,0.22280000000000003
2021-01-22,MARUTI,EQ,8076.75,8085.0,8308.0,8000.0,8024.0,8048.85,8163.61,1172914,957521295235000.0,106358,172071,0.1467
2021-01-25,MARUTI,EQ,8048.85,8117.0,8164.7,7950.1,8009.1,7981.5,8070.49,753043,607742659730000.0,71327,155311,0.20620000000000002
2021-01-27,MARUTI,EQ,7981.5,7992.95,8090.0,7820.5,7861.45,7870.9,7972.54,1080785,861659706965000.0,116041,234241,0.21670000000000003
2021-01-28,MARUTI,EQ,7870.9,7840.0,7984.55,7562.0,7600.0,7588.5,7765.46,2085637,1619592709660000.0,193839,374460,0.1795
2021-01-29,MARUTI,EQ,7588.5,7685.0,7685.0,7170.0,7222.0,7206.65,7377.31,3069968,2264809078535000.0,281099,1065452,0.3471
2021-02-01,MARUTI,EQ,7206.65,7265.2,7475.0,7152.0,7430.0,7399.8,7315.28,1611478,1178841080405000.0,179773,290905,0.18050000000000002
2021-02-02,MARUTI,EQ,7399.8,7534.9,7769.75,7490.15,7661.0,7654.7,7651.32,1700845,1301370195610000.0,128518,450748,0.265
2021-02-03,MARUTI,EQ,7654.7,7680.0,7716.45,7475.85,7585.0,7589.2,7579.5,1491567,1130533585530000.0,123946,350427,0.2349
